ID;ID progetto;REQUISITO (testo);Classe dei requisiti;CATEGORIA;PAROLA
R594;13;The system shall only be accessed by authorized Corporate Community Grants (CCR) employees. Users must be authenticated using their IBM intranet user name and password.;SE;plurals;employees
R571;12;The product shall continue to operate during upgrade  change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.;MN;plurals;additions
R504;10;The product shall maintain a list of players.;F;plurals;players
R666;20;The system shall permit only cafeteria staff members who are on the list of authorized Menu Managers to create or edit menus.;F;plurals;members
R552;11;The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.;SE;plurals;callers
R108;3;Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes;F;plurals;Members
R38;2;The search results shall be returned no later 30 seconds  after the user has entered the search criteria;PE;plurals;results
R585;13;All CCR users shall receive training before the WCS system is deployed. One training session will be held for 100% of CCR users before system deployment (based on a CCR user being available);US;plurals;users
R446;8;The website will allow customers to search for movies by title  actor  or director.;F;plurals;movies
R25;1;The system shall display the local and exercise time in separate clocks;F;plurals;clocks
R325;6;The product shall have the ability to send meeting reminders to employees.;F;plurals;reminders
R218;5;The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.;PE;plurals;parts
R620;15;The product must comply with the intranet page standards and requirements of ENET Securities. 95% of the product look & feel will be approved by the Architecture group  prior to implementation. The remaining 5% will be corrected and approved within one month of product release.;LF;plurals;Securities
R486;9;The leads washing functionality will store any potential lead duplicates returned by the enterprise system.;F;plurals;duplicates
R422;8;The website will provide a help section with answers and solutions to common problems.;US;plurals;solutions
R155;4;The Disputes application shall support 350 concurrent users without any degradation of performance in the application.;PE;plurals;Disputes
R196;4;A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.;F;plurals;cases
R139;3;The system will notify affected parties when changes occur affecting clinicals  including but not limited to clinical section capacity changes  and clinical section cancellations.;F;plurals;parties
R46;2;The product shall allow the user to view previously downloaded search results CMA reports  and appointments.;FT;plurals;appointments
R356;7;The System shall meet all applicable accounting standards.  The final version of the System must successfully pass independent audit performed by a certified auditor.;L;plurals;standards
R251;5;The estimator shall search for available recycled parts using a list of preferred parts suppliers.;F;plurals;suppliers
R138;3;The system will notify affected parties for routine communication purposes  including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.;F;plurals;students
R762;34;The reliability of the overall program depends on the reliability of the separate components. The main pillar of reliability of the system is the backup of the database which is continuously maintained and updated to reflect the most recent changes.;FT;plurals;components
R603;14;Users shall be able to view at least 25 NFL player statistics and points on each page.;US;plurals;Users
R29;2;The look and feel of the system shall conform to the user interface standards of the smart device.;LF;plurals;standards
R366;7;Product shall allow entering  storing and modifying product menus used by POS terminals.;F;plurals;menus
R849;45;The system shall authenticate users at the beginning each session.;F;plurals;users
R640;17;The system shall debit the user’s account upon withdrawal of funds.;F;plurals;funds
R182;4;The Disputes System shall provide view access capability for authorized users of the application.;F;plurals;Disputes
R195;4;The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.;F;plurals;results
R514;10;Once a game is initiated  the product shall allow each player to position their 5 ships on their respective defensive grids.;F;plurals;ships
R464;8;The owner shall have free access to all of the streaming movies.;F;plurals;movies
R118;3;The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members\92 planning purposes.;F;plurals;Administrators
R594;13;The system shall only be accessed by authorized Corporate Community Grants (CCR) employees. Users must be authenticated using their IBM intranet user name and password.;SE;plurals;Users
R385;8;The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.;LF;plurals;users
R408;8;The server will support a maximum of 1 000 simultaneous users.;SC;plurals;users
R197;4;The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.;F;plurals;Disputes
R152;4;100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.;US;plurals;representatives
R104;3;Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort;F;plurals;Administrators
R5;1;If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100;US;plurals;viewers
R173;4;All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.;L;plurals;Disputes
R559;12;The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators);US;plurals;transactions
R252;5;The system shall search for available recycled parts for the supplied vehicle parts and suppliers.;F;plurals;suppliers
R3;1;If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30;US;plurals;viewers
R760;34;Sensitive data will be encrypted before being sent over insecure connections like the internet.;SE;plurals;connections
R484;9;The leads washing functionality will have an interface in which lead data parameters can be maintained.;F;plurals;leads
R516;10;The product shall allow the player to position ships vertically on their grid.;F;plurals;ships
R294;6;The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.;FT;plurals;problems
R171;4;All updates to data files or database must be initiated from the Disputes System.;SE;plurals;files
R69;3;The system shall be easy to use by the Program Administrators/Nursing Staff Members.;US;plurals;Members
R24;1;The system shall allow a user to define the time segments;F;plurals;segments
R592;13;The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users. Queries must be made to external databases for data refresh once a week.;MN;plurals;users
R178;4;The Disputes System must be accessible by both internal and external users.;F;plurals;Disputes
R586;13;The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.;US;plurals;Grants
R761;34;The system provides storage of all databases on redundant computers with automatic switchover.;O;plurals;databases
R852;45;The system shall allow users to send and receive messages.;F;plurals;messages
R326;6;The product shall assign the organizers contact information to each meeting they create.;F;plurals;organizers
R105;3;Students added to a cohort shall be eligible for the cohort\92s Program of Study.;F;plurals;Students
R235;5;The product shall free of computer viruses.;SE;plurals;viruses
R444;8;The website will comply with W3C standards.;L;plurals;standards
R188;4;The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.;F;plurals;users
R602;14;Users shall be able to reach the \91add\92  \91drop\92  and \91trade player\92 pages with one click from the team owner\92s page.;US;plurals;Users
R713;30;Provide an interface for the admin to approve posts so that posts are not visible without admin approval.;F;plurals;posts
R179;4;The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.;F;plurals;users
R299;6;The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).;O;plurals;problems
R12;1;The system shall display Events or Activities.;F;plurals;Events
R394;8;The product shall use symbols and words that are naturally understandable by users familiar with websites;US;plurals;websites
R543;11;The system shall be easy to learn by callers and supervisors. Callers and supervisors shall learn how to use the system within 10 minutes.;US;plurals;callers
R722;31;Most of the system functions will be controlled using the administrative interface.;F;plurals;functions
R71;3;The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.;US;plurals;mistakes
R502;10;The product shall provide players no access to information that might reveal the identity of another player;SE;plurals;players
R924;46;The system shall enable the user to enter their reviews and ratings.;F;plurals;ratings
R167;4;All additions of new users and modifications to user\92s access shall be recorded on the User Report.;SE;plurals;modifications
R157;4;The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database;O;plurals;details
R60;2;The user shall be able to download appointments and contact information for clients;F;plurals;appointments
R460;8;Website must be able to support free trial periods with various parameters set by the Izogn Manager.;F;plurals;parameters
R59;2;The user shall be able to get driving directions to a selected property;F;plurals;directions
R23;1;The system shall filter data by: Venues and Key Events.;F;plurals;Venues
R389;8;Users should be able to access their streaming movies in under 2 clicks after logging into the website.;US;plurals;clicks
R121;3;Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.;F;plurals;Members
R875;46;The system shall display all the products that can be configured.;F;plurals;products
R656;19;The menus of the system must be easily navigable by the users with buttons that are easy to understand.;US;plurals;menus
R183;4;The Disputes System shall provide update access capability for authorized users of the application.;F;plurals;users
R536;10;The product shall end a game when a hit by the offensive player results in sinking the last of the defensive player\92s ships  which had not been previously marked as sunk.;F;plurals;results
R184;4;The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.;F;plurals;transactions
R162;4;The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.;SE;plurals;Disputes
R229;5;Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.;O;plurals;frames
R481;9;The leads washing functionality will compile both contact and academic scoring information for a total score.;F;plurals;leads
R160;4;The Disputes application shall interface with the Letters application.  This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.;O;plurals;Disputes
R354;7;The System shall maintain consistent security.  Any changes in user passwords and/or permissions should take affect in all parts of the System.;SE;plurals;parts
R52;2;The product shall be installed by an untrained realtor without recourse to separately-printed instructions.;US;plurals;instructions
R74;3;2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.;US;plurals;Members
R231;5;Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.;SE;plurals;Users
R704;29;ABS shall handle all expected and unexpected errors in ways that prevent loss in information and long downtime period.;FT;plurals;errors
R33;2;The system shall be used by realtors with no training.;US;plurals;realtors
R608;14;A primary database will be used to store cached data for active users.;O;plurals;users
R808;38;Consult with the Administrator about the payment details of the customers for the updating of the database.;F;plurals;customers
R594;13;The system shall only be accessed by authorized Corporate Community Grants (CCR) employees. Users must be authenticated using their IBM intranet user name and password.;SE;plurals;Grants
R74;3;2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.;US;plurals;classes
R304;6;The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.;O;plurals;servers
R845;45;The system shall allow the mediator to send and receive messages from users.;F;plurals;users
R362;7;Product formulas shall allow use of semi-products  which have own formulas.;F;plurals;products
R200;4;For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.;F;plurals;disputes
R160;4;The Disputes application shall interface with the Letters application.  This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.;O;plurals;requests
R357;7;The System shall not require additional third party licenses resulting in royalty fees.;O;plurals;licenses
R423;8;Velkat staff will be available for phone support between 7am-7pm  M-F to provide technical support to the Izogn administrators.;A;plurals;administrators
R161;4;The Disputes application shall interface with the Cardmember Posting and Billing System.  This will allow the Disputes application to request adjustments to cardmember and merchant\92s accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.;O;plurals;accounts
R847;45;The system shall allow the initiator to cancel any meetings which they initiated.;F;plurals;meetings
R619;15;User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles. Access to functionality within RFS system is dependent on the privileges/permission assigned to the role..;SE;plurals;users
R622;15;The users should be able to easily use the system to successfully complete their budgets  within the stipulated time for completion. With a week of training prior to product implementation  98% of the users shall complete their budgets within the stipulated time.;US;plurals;users
R227;5;The maintenance of the product will fall within the established corporate maintenance windows.;O;plurals;windows
R598;14;Each page shall contain a navigation menu which shows the index into which the current page is contained.;LF;plurals;shows
R968;49;The system shall support up to 10000 simultaneous users against the central database at any given time and up to 5000 simultaneous users against the local servers at any one time. The performance of the website must be optimal incase of huge loads and hence appropriate load balancing must be done to achieve this. There can be any number of mirror servers readily available in case of huge loads without the user getting any delay.;PE;plurals;servers
R255;5;The available recycled parts information and their suppliers shall be returned to the user.;F;plurals;suppliers
R145;3;Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site  including the clinical site name  site contact person  contact information  and address.;F;plurals;Members
R662;20;The system shall display confirmation messages to users within 4 seconds after the user submits information to the system.;PE;plurals;users
R792;38;New users can sign up by creating new ID.;F;plurals;users
R419;8;Izogn Administrator must be able to update the category listings on the website within 2 minutes.;PE;plurals;listings
R518;10;The product shall prevent the player from overlapping ships on their grid.;F;plurals;ships
R272;5;The ratings shall be from a scale of 1-10;F;plurals;ratings
R929;46;The system shall display all the available promotions to the user.;F;plurals;promotions
R291;6;The product shall conform to the Americans with Disabilities Act.;US;plurals;Americans
R149;4;All screens created as part of the Disputes application must comply with corporate standards for interface creation.;LF;plurals;standards
R93;3;Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.;SE;plurals;people
R783;38;The system shall accommodate high number of items and users without any fault.;FT;plurals;items
R541;10;When a game is ended  the product shall allow each player to remove himself or herself from the list of players.;F;plurals;players
R111;3;Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.;F;plurals;classes
R107;3;For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.;F;plurals;Administrators
R393;8;The product shall be easy for customers with novice skills on the  Internet to purchase and watch streaming movies.  Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.;US;plurals;Customers
R716;30;Be intuitive even to first time users;LF;plurals;users
R638;17;The system shall validate the amount is available in the user’s account before releasing funds to the user.;F;plurals;funds
R428;8;Only administrators can activate a pre-paid card.;SE;plurals;administrators
R509;10;The product shall remove players who have been inactive for 24 hours from the list of players.;F;plurals;players
R449;8;shall be able to stream purchased movie via Windows Media Player  for up to 2 days aftere purchase date.;F;plurals;Windows
R83;3;The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.;SC;plurals;classes
R166;4;The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user\92s access level. The report will be reviewed for auditing purposes.;SE;plurals;changes
R172;4;The Disputes application must conform to the legal requirements as specified by the Merchant Operating Regulations.;L;plurals;requirements
R78;3;The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.;PE;plurals;tasks
R271;5;The user shall enter new ratings based on the audit report;F;plurals;ratings
R385;8;The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.;LF;plurals;pages
R136;3;The system shall contain contact information (e-mail and phone number) for all people relevant to the system  including (but not limited to) staff members  students  lecture instructors  clinical lab instructors  and clinical site administrators.;F;plurals;instructors
R136;3;The system shall contain contact information (e-mail and phone number) for all people relevant to the system  including (but not limited to) staff members  students  lecture instructors  clinical lab instructors  and clinical site administrators.;F;plurals;people
R144;3;Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Program of Study within the Nursing Department including the Program of study name  and required classes for that Program of Study.;F;plurals;classes
R676;24;The application should be easy to extend. The code should be written in a way that it favors implementation of new functions.;MN;plurals;functions
R576;12;The product shall have audit capabilities.The product shall store messages for a minimum of one year for audit and transaction tracking purposes.;SE;plurals;purposes
R20;1;The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.;F;plurals;modifications
R789;38;Contact with the vendors and give permission to sell their product under the site after testing the product’s quality.;F;plurals;vendors
R360;7;The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.;F;plurals;ingredients
R151;4;100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.;US;plurals;services
R183;4;The Disputes System shall provide update access capability for authorized users of the application.;F;plurals;Disputes
R10;1;The system shall display Events in a vertical table by time.;F;plurals;Events
R46;2;The product shall allow the user to view previously downloaded search results CMA reports  and appointments.;FT;plurals;reports
R617;15;New branches/complexes/districts/regions and revenue/expense accounts added to the BDW  must be reflected in the RFS system. 100% of the entities (mentioned above) available as of October month-end  will be loaded into the RFS system  prior to the budget start process.;MN;plurals;branches
R599;14;Each page shall contain a similar format with action items in one location and navigation buttons in a different location.;LF;plurals;buttons
R197;4;The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.;F;plurals;activities
R787;38;System will have different types of users and every user has access constraints.;SE;plurals;types
R378;8;System shall let customers cancel their account  process shall take no longer than 2 minutes.  Database will mark the account as inactive  and user will not be able to log into the website.;PE;plurals;customers
R923;46;The system shall notify the user about any changes made to the order.;F;plurals;changes
R441;8;The website should appeal to all Africans  not only Nigerians.;LF;plurals;Nigerians
R249;5;The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.;F;plurals;facilities
R320;6;The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.;SC;plurals;countries
R354;7;The System shall maintain consistent security.  Any changes in user passwords and/or permissions should take affect in all parts of the System.;SE;plurals;passwords
R136;3;The system shall contain contact information (e-mail and phone number) for all people relevant to the system  including (but not limited to) staff members  students  lecture instructors  clinical lab instructors  and clinical site administrators.;F;plurals;administrators
R618;15;Only authorized user shall access the RFS system. ONLY users that exist in the UAS system  with the RFS system assigned to their role(s)  shall access the RFS system and use it.;SE;plurals;users
R633;16;The system shall allow a text search that users may use to find mail messages.;F;plurals;users
R407;8;"The streaming server will support a maximum of 700 movies; new servers can be added to support more movies.";SC;plurals;servers
R54;2;The product is expected to run on Windows CE and Palm operating systems.;PO;plurals;systems
R315;6;Only managers are able to perform search queries for reservations by user.  100% of all search queries for reservations by user shall be from logons of only management logons.;SE;plurals;reservations
R555;12;The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support.;LF;plurals;Services
R617;15;New branches/complexes/districts/regions and revenue/expense accounts added to the BDW  must be reflected in the RFS system. 100% of the entities (mentioned above) available as of October month-end  will be loaded into the RFS system  prior to the budget start process.;MN;plurals;complexes
R139;3;The system will notify affected parties when changes occur affecting clinicals  including but not limited to clinical section capacity changes  and clinical section cancellations.;F;plurals;cancellations
R622;15;The users should be able to easily use the system to successfully complete their budgets  within the stipulated time for completion. With a week of training prior to product implementation  98% of the users shall complete their budgets within the stipulated time.;US;plurals;budgets
R557;12;The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.;US;plurals;Administrators
R213;5;Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.;US;plurals;Users
R819;42;A list of available patients is displayed after login.;F;plurals;patients
R194;4;The Disputes System must provide the ability to view existing dispute cases.;F;plurals;Disputes
R417;8;Movies shall be encoded for 56k and 256k streams.;O;plurals;streams
R167;4;All additions of new users and modifications to user\92s access shall be recorded on the User Report.;SE;plurals;additions
R181;4;The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.;F;plurals;Disputes
R239;5;The product shall comply with insurance regulations regarding claims processing.;L;plurals;regulations
R253;5;The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers;F;plurals;suppliers
R73;3;The system shall be intuitive to the Program Administrators/Nursing Staff Members.;US;plurals;Members
R771;35;The system will develop a security system that will reduce to the minimum the possibility of corruption from systems and/or humans.;SE;plurals;systems
R133;3;The system shall be able to display a printable summary for individual clinical labs  which will include (but not be limited to) class name  class number  lab section  listing of students enrolled  instructor  day(s)  time  and location.;F;plurals;students
R253;5;The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers;F;plurals;miles
R109;3;Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes;F;plurals;Members
R207;5;The product shall adhere to the corporate Architecture guidelines;O;plurals;guidelines
R686;27;The system should use the company colors and logos.;LF;plurals;logos
R195;4;The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.;F;plurals;Disputes
R41;2;The product shall synchronize contacts and appointments in an acceptable time.;PE;plurals;appointments
R718;31;All transactions at the Flea Market require a valid user ID and password.;SE;plurals;transactions
R766;35;The product is Web based therefore it will be used in any environment that allows Web access.;PO;pronoun;that
R101;3;The system shall use the organization\92s standard virus protection software to help monitor threats to itself.;SE;pronoun;itself
R826;42;Icons will clearly illustrate the feature it represents.;F;pronoun;it
R355;7;The System shall granularly control access rights to all major subsystems.  It should be possible to assign access rights to all subsystems independently.;SE;pronoun;It
R212;5;The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.;US;pronoun;their
R722;31;Most of the system functions will be controlled using the administrative interface.;F;pronoun;Most
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;pronoun;it
R619;15;User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles. Access to functionality within RFS system is dependent on the privileges/permission assigned to the role..;SE;pronoun;their
R120;3;Classes for a given cohort shall not conflict with regards to the time and day that they are offered.;F;pronoun;that
R190;4;The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.;F;pronoun;their
R726;32;It must be able to download the most recent medical record.;F;pronoun;most
R939;46;The system shall provide a contractual agreement with an internet service provider who can provide 99.999% availability through their network facilities onto the internet.;A;pronoun;who
R671;22;All data entry forms for the application should match their Microsoft Excel hardcopy counterparts as closely as possible. Hardcopies of these forms were provided to the design team during the second requirements interview.;O;pronoun;their
R690;27;The system shall flag tablets that fail to send timely keep-alive messages as non-operational and disassociate the assigned waiter from the tablet.;FT;pronoun;that
R196;4;A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.;F;pronoun;that
R143;3;Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts including cohort identifier  program of study  preferred sequence of classes and quarters that a cohort will be taking specific classes.;F;pronoun;that
R166;4;The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user\92s access level. The report will be reviewed for auditing purposes.;SE;pronoun;that
R95;3;Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students\92 personal information.;SE;pronoun;who
R517;10;The product shall allow the player to position ships diagonally on their grid;F;pronoun;their
R679;25;The system shall show a tabbed display (or equivalent functionality) with the campus map on one tab and info on the most recently announced building on the other.;LF;pronoun;most
R739;32;It must allow a user to download a backup of their medical information.;F;pronoun;It
R125;3;Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.;F;pronoun;who
R847;45;The system shall allow the initiator to cancel any meetings which they initiated.;F;pronoun;which
R673;23;Changes made to the Manage My ID website can be adopted without altering the iOS application.;MN;pronoun;My
